	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
10156.2T3	73194.0	5686	63.0	1	66.0	6
10156.56.A	118939.0	5234	89.0	6	140.0	17
10156.36	52565.0	2595	53.0	1	658.0	8
10156.15	114304.0	5929	12.0	2	28.0	4
10156.2C2	174589.0	6935	68.0	3	154.0	13
10156.1T5	196730.0	5923	61.0	2	172.0	10
10156.NW4.A	116573.0	6332	25.0	5	57.0	10
10156.37	160886.0	4807	22.0	2	469.0	16
10156.NW5.A	142386.0	6852	22.0	4	80.0	9
10156.44	148112.0	4884	47.0	4	1512.0	13
10156.2S4	165914.0	6756	22.0	3	231.0	8
10156.2C3	203320.0	6872	24.0	1	257.0	14
10156.2C5	166686.0	6569	3.0	2	262.0	13
10156.2T2	153508.0	7409	13.0	1	254.0	16
10156.2T1	135596.0	7581	22.0	1	97.0	8
10156.2B5	144681.0	6903	13.0	1	166.0	11
10156.43	58481.0	5718	60.0	1	157.0	10
10156.NW3.A	102052.0	5200	42.0	7	65.0	10
10156.54	172718.0	4312	73.0	3	154.0	12
10156.40	121571.0	6418	95.0	3	91.0	14
10156.1C4	20099.0	2612	69.0	1	31.0	9
10156.46	107446.0	5242	28.0	3	149.0	17
10156.2B2	87672.0	6325	57.0	2	63.0	10
10156.NW1.A	96406.0	5277	733.0	7	43.0	8
10156.16	121821.0	6137	21.0	3	80.0	13
