	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
10245.14.Drnum2.day5.Bag4	124.0	24	34.0	2	0.0	0	30.9
10245.15.Drnum2.day5.Bag5	309.0	16	270.0	3	0.0	0	31.1
10245.15.Drnum2.day5.Bag5	86.0	3	78.0	1	0.0	0	31.1
10245.16.Drnum2.day5.Bag6	44.0	14	9.0	1	0.0	0	30.7
10245.16.Drnum2.day5.Bag6	19.0	5	10.0	1	0.0	0	30.7
10245.17.Drnum2.day5.Bag7	85.0	21	3.0	1	0.0	0	30.6
10245.18.Drnum2.day5.Bag8	503.0	77	64.0	1	0.0	0	30.0
10245.18.Drnum2.day5.Bag8	165.0	27	11.0	1	0.0	0	30.0
10245.19.Drnum2.day5.Bag9	7973.0	314	3490.0	11	0.0	0	30.2
10245.19.Drnum2.day5.Bag9	2691.0	150	1099.0	6	0.0	0	30.2
10245.20.Drnum2.day5.Bag10	6918.0	202	1152.0	6	0.0	0	29.8
10245.20.Drnum2.day5.Bag10	2166.0	119	384.0	4	0.0	0	29.8
10245.21.Drnum3.day10.Bag1	6725.0	151	3282.0	10	0.0	0	29.7
10245.21.Drnum3.day10.Bag1	2263.0	104	1126.0	5	0.0	0	29.7
10245.22.Drnum3.day10.Bag2	7704.0	57	341.0	4	0.0	0	29.0
10245.22.Drnum3.day10.Bag2	2951.0	44	119.0	2	0.0	0	29.0
10245.24.Drnum3.day10.Bag4	7953.0	574	762.0	8	23.0	1	29.3
10245.24.Drnum3.day10.Bag4	2440.0	245	208.0	4	5.0	1	29.3
10245.25.Drnum3.day10.Bag5	6437.0	178	474.0	4	0.0	0	29.7
10245.25.Drnum3.day10.Bag5	2246.0	146	202.0	4	0.0	0	29.7
